com.victronenergy.switch.HQ2502N6WNN
33	/SwitchableOutput/output_3/Status	INT32	0	Off
33	/SwitchableOutput/output_3/State	INT32	0	0
54	/SwitchableOutput/relay_3/Status	INT32	9	On
54	/SwitchableOutput/relay_3/State	INT32	1	1
56	/SwitchableOutput/relay_1/State	INT32	1	1
56	/SwitchableOutput/relay_1/Status	INT32	9	On
57	/SwitchableOutput/output_6/Status	INT32	9	On
57	/SwitchableOutput/output_6/State	INT32	1	1
58	/SwitchableOutput/output_5/Status	INT32	0	Off
58	/SwitchableOutput/output_5/State	INT32	0	0
59	/SwitchableOutput/output_4/Status	INT32	9	On
59	/SwitchableOutput/output_4/State	INT32	1	1
60	/SwitchableOutput/output_8/Status	INT32	9	On
60	/SwitchableOutput/output_8/State	INT32	1	1
60	/SwitchableOutput/output_7/Status	INT32	0	Off
60	/SwitchableOutput/output_7/State	INT32	0	0
61	/SwitchableOutput/relay_2/State	INT32	1	1
61	/SwitchableOutput/relay_2/Status	INT32	9	On
61	/SwitchableOutput/relay_1/State	INT32	0	0
62	/SwitchableOutput/relay_1/Status	INT32	0	Off
62	/SwitchableOutput/pwm_1/Status	INT32	9	On
62	/SwitchableOutput/pwm_1/State	INT32	1	1
62	/SwitchableOutput/pwm_1/Dimming	INT32	27	27%
63	/SwitchableOutput/pwm_1/Dimming	INT32	28	28%
63	/SwitchableOutput/pwm_1/Dimming	INT32	31	31%
63	/SwitchableOutput/pwm_1/Dimming	INT32	39	39%
63	/SwitchableOutput/pwm_1/Dimming	INT32	52	52%
63	/SwitchableOutput/pwm_1/Dimming	INT32	78	78%
63	/SwitchableOutput/pwm_1/Dimming	INT32	86	86%
63	/SwitchableOutput/pwm_1/Dimming	INT32	89	89%
63	/SwitchableOutput/pwm_1/Dimming	INT32	90	90%
63	/SwitchableOutput/pwm_4/Dimming	INT32	57	57%
63	/SwitchableOutput/pwm_4/Dimming	INT32	55	55%
63	/SwitchableOutput/pwm_4/Dimming	INT32	52	52%
63	/SwitchableOutput/pwm_4/Dimming	INT32	47	47%
63	/SwitchableOutput/pwm_4/Dimming	INT32	40	40%
63	/SwitchableOutput/pwm_4/Dimming	INT32	33	33%
63	/SwitchableOutput/pwm_4/Dimming	INT32	28	28%
64	/SwitchableOutput/pwm_4/Dimming	INT32	26	26%
64	/SwitchableOutput/pwm_4/Status	INT32	0	Off
64	/SwitchableOutput/pwm_4/State	INT32	0	0
64	/SwitchableOutput/relay_3/Status	INT32	0	Off
64	/SwitchableOutput/relay_3/State	INT32	0	0
78	/SwitchableOutput/output_4/Status	INT32	0	Off
78	/SwitchableOutput/output_4/State	INT32	0	0
78	/SwitchableOutput/output_5/Status	INT32	9	On
78	/SwitchableOutput/output_5/State	INT32	1	1
79	/SwitchableOutput/output_6/Status	INT32	0	Off
79	/SwitchableOutput/output_6/State	INT32	0	0
79	/SwitchableOutput/output_7/Status	INT32	9	On
79	/SwitchableOutput/output_7/State	INT32	1	1
80	/SwitchableOutput/output_8/Status	INT32	0	Off
80	/SwitchableOutput/output_8/State	INT32	0	0
82	/SwitchableOutput/pwm_2/Status	INT32	0	Off
82	/SwitchableOutput/pwm_2/State	INT32	0	0
83	/SwitchableOutput/pwm_4/Status	INT32	9	On
83	/SwitchableOutput/pwm_4/State	INT32	1	1
83	/SwitchableOutput/pwm_1/Status	INT32	0	Off
83	/SwitchableOutput/pwm_1/State	INT32	0	0
84	/SwitchableOutput/relay_1/State	INT32	1	1
84	/SwitchableOutput/relay_1/Status	INT32	9	On
84	/SwitchableOutput/relay_2/State	INT32	0	0
84	/SwitchableOutput/relay_2/Status	INT32	0	Off
87	/SwitchableOutput/relay_3/Status	INT32	9	On
87	/SwitchableOutput/relay_3/State	INT32	1	1
104	/SwitchableOutput/output_2/Status	INT32	9	On
104	/SwitchableOutput/output_2/State	INT32	1	1
